,,,文学,报刊,多领域,微博,学术,古汉语,篇章检索,HSK,BCC,总数（无微博）
臨別殷勤重寄詞，,,临别殷勤重寄词，,0,0,1,11,1,9,0,0,22,11
詞中有誓兩心知。,,词中有誓两心知。,0,0,2,11,1,9,0,0,23,12
七月七日長生殿，,,七月七日长生殿，,0,2,24,57,10,43,14,0,150,93
夜半無人私語時。,,夜半无人私语时。,0,1,24,59,8,45,17,0,154,95
在天願作比翼鳥，,,在天愿作比翼鸟，,0,7,74,169,26,30,28,0,334,165
在地願爲連理枝。,,在地愿为连理枝。,1,13,63,86,33,43,28,1,268,182
天長地久有時盡，,,天长地久有时尽，,0,6,70,110,19,46,29,0,280,170
此恨綿綿無絕期。,,此恨绵绵无绝期。,0,7,90,165,31,31,29,0,353,188
,,,,,,,,,,,,
,,导致上下半句频率不一样的原因：1. 语境不同；2. 近义词，如“云鬓半偏新睡觉”，“惟将旧物表深情”，“但教心似金钿坚”，“在天愿作比翼鸟”；3. 错别字，如“闻道汉家天子使”，“风吹仙袂飘飖举”。,,,,,,,,,,
